Date,Name,Year,Letterboxd URI
2019-11-12,Dazed and Confused,1993,https://letterboxd.com/film/dazed-and-confused/
2019-11-12,Defiance,2008,https://letterboxd.com/film/defiance/
2019-11-12,Dennis the Menace,1993,https://letterboxd.com/film/dennis-the-menace/
2019-11-12,District 9,2009,https://letterboxd.com/film/district-9/
2019-11-12,Divergent,2014,https://letterboxd.com/film/divergent/
2019-11-12,Django Unchained,2012,https://letterboxd.com/film/django-unchained/
2019-11-12,Doctor Dolittle,1998,https://letterboxd.com/film/doctor-dolittle-1998/
2019-11-12,Dr. Dolittle 2,2001,https://letterboxd.com/film/dr-dolittle-2/
2019-11-12,DodgeBall: A True Underdog Story,2004,https://letterboxd.com/film/dodgeball-a-true-underdog-story/
2019-11-12,Dog Day Afternoon,1975,https://letterboxd.com/film/dog-day-afternoon/
2019-11-12,Donnie Darko,2001,https://letterboxd.com/film/donnie-darko/
2019-11-12,Double Teamed,2002,https://letterboxd.com/film/double-teamed/
2019-11-12,Drive,2011,https://letterboxd.com/film/drive-2011/
2019-11-12,Drumline,2002,https://letterboxd.com/film/drumline/
2019-11-12,"Dude, Where's My Car?",2000,https://letterboxd.com/film/dude-wheres-my-car/
2019-11-12,Due Date,2010,https://letterboxd.com/film/due-date/
2019-11-12,Dumb and Dumber,1994,https://letterboxd.com/film/dumb-and-dumber/
2019-11-12,Dumb and Dumber To,2014,https://letterboxd.com/film/dumb-and-dumber-to/
2019-11-12,Dumb and Dumberer: When Harry Met Lloyd,2003,https://letterboxd.com/film/dumb-and-dumberer-when-harry-met-lloyd/
2019-11-12,Dumbo,1941,https://letterboxd.com/film/dumbo/
2019-11-12,E.T. the Extra-Terrestrial,1982,https://letterboxd.com/film/et-the-extra-terrestrial/
2019-11-12,Easy A,2010,https://letterboxd.com/film/easy-a/
2019-11-12,Edge of Tomorrow,2014,https://letterboxd.com/film/edge-of-tomorrow/
2019-11-12,Edward Scissorhands,1990,https://letterboxd.com/film/edward-scissorhands/
2019-11-12,Eight Men Out,1988,https://letterboxd.com/film/eight-men-out/
2019-11-12,Elf,2003,https://letterboxd.com/film/elf/
2019-11-12,Empire Records,1995,https://letterboxd.com/film/empire-records/
2019-11-12,End of Watch,2012,https://letterboxd.com/film/end-of-watch/
2019-11-12,Enemy at the Gates,2001,https://letterboxd.com/film/enemy-at-the-gates/
2019-11-12,EuroTrip,2004,https://letterboxd.com/film/eurotrip/
2019-11-12,Exit Through the Gift Shop,2010,https://letterboxd.com/film/exit-through-the-gift-shop/
2019-11-12,Failure to Launch,2006,https://letterboxd.com/film/failure-to-launch/
2019-11-12,Fantasia,1940,https://letterboxd.com/film/fantasia/
2019-11-12,Fargo,1996,https://letterboxd.com/film/fargo/
2019-11-12,Fast Times at Ridgemont High,1982,https://letterboxd.com/film/fast-times-at-ridgemont-high/
2019-11-12,Fear and Loathing in Las Vegas,1998,https://letterboxd.com/film/fear-and-loathing-in-las-vegas/
2019-11-12,Ferris Bueller's Day Off,1986,https://letterboxd.com/film/ferris-buellers-day-off/
2019-11-12,Fever Pitch,2005,https://letterboxd.com/film/fever-pitch-2005/
2019-11-12,Field of Dreams,1989,https://letterboxd.com/film/field-of-dreams/
2019-11-12,Fight Club,1999,https://letterboxd.com/film/fight-club/
2019-11-12,Finding Nemo,2003,https://letterboxd.com/film/finding-nemo/
2019-11-12,Finding Neverland,2004,https://letterboxd.com/film/finding-neverland/
2019-11-12,First Kid,1996,https://letterboxd.com/film/first-kid/
2019-11-12,Flight,2012,https://letterboxd.com/film/flight/
2019-11-12,Fly Away Home,1996,https://letterboxd.com/film/fly-away-home/
2019-11-12,"Food, Inc.",2008,https://letterboxd.com/film/food-inc/
2019-11-12,Forgetting Sarah Marshall,2008,https://letterboxd.com/film/forgetting-sarah-marshall/
2019-11-12,Forrest Gump,1994,https://letterboxd.com/film/forrest-gump/
2019-11-12,Foxcatcher,2014,https://letterboxd.com/film/foxcatcher/
2019-11-12,Freddy Got Fingered,2001,https://letterboxd.com/film/freddy-got-fingered/
2019-11-12,Friends with Benefits,2011,https://letterboxd.com/film/friends-with-benefits/
2019-11-12,Frost/Nixon,2008,https://letterboxd.com/film/frost-nixon/
2019-11-12,Full Metal Jacket,1987,https://letterboxd.com/film/full-metal-jacket/
2019-11-12,Fury,2014,https://letterboxd.com/film/fury-2014/
2019-11-12,Galaxy Quest,1999,https://letterboxd.com/film/galaxy-quest/
2019-11-12,Gattaca,1997,https://letterboxd.com/film/gattaca/
2019-11-12,Genius,1999,https://letterboxd.com/film/genius/
2019-11-12,Ghostbusters,1984,https://letterboxd.com/film/ghostbusters/
2019-11-12,Gladiator,2000,https://letterboxd.com/film/gladiator-2000/
2019-11-12,Going Clear: Scientology and the Prison of Belief,2015,https://letterboxd.com/film/going-clear-scientology-and-the-prison-of-belief/
2019-11-12,Gone Baby Gone,2007,https://letterboxd.com/film/gone-baby-gone/
2019-11-12,Gone Girl,2014,https://letterboxd.com/film/gone-girl/
2019-11-12,Good Will Hunting,1997,https://letterboxd.com/film/good-will-hunting/
2019-11-12,GoodFellas,1990,https://letterboxd.com/film/goodfellas/
2019-11-12,Gran Torino,2008,https://letterboxd.com/film/gran-torino/
2019-11-12,Gravity,2013,https://letterboxd.com/film/gravity-2013/
2019-11-12,Green Street Hooligans,2005,https://letterboxd.com/film/green-street-hooligans/
2019-11-12,Groundhog Day,1993,https://letterboxd.com/film/groundhog-day/
2019-11-12,Guardians of the Galaxy,2014,https://letterboxd.com/film/guardians-of-the-galaxy/
2019-11-12,Hackers,1995,https://letterboxd.com/film/hackers/
2019-11-12,Halloweentown,1998,https://letterboxd.com/film/halloweentown/
2019-11-12,Happy Gilmore,1996,https://letterboxd.com/film/happy-gilmore/
2019-11-12,Harold & Kumar Go to White Castle,2004,https://letterboxd.com/film/harold-kumar-go-to-white-castle/
2019-11-12,Haywire,2011,https://letterboxd.com/film/haywire/
2019-11-12,Heathers,1988,https://letterboxd.com/film/heathers/
2019-11-12,Heavyweights,1995,https://letterboxd.com/film/heavyweights/
2019-11-12,Helvetica,2007,https://letterboxd.com/film/helvetica/
2019-11-12,Her,2013,https://letterboxd.com/film/her/
2019-11-12,Hercules,1997,https://letterboxd.com/film/hercules-1997/
2019-11-12,Hitch,2005,https://letterboxd.com/film/hitch-2005/
2019-11-12,Home Alone,1990,https://letterboxd.com/film/home-alone/
2019-11-12,Home Alone 2: Lost in New York,1992,https://letterboxd.com/film/home-alone-2-lost-in-new-york/
2019-11-12,Home Alone 3,1997,https://letterboxd.com/film/home-alone-3/
2019-11-12,Hook,1991,https://letterboxd.com/film/hook/
2019-11-12,Horrible Bosses,2011,https://letterboxd.com/film/horrible-bosses/
2019-11-12,Horrible Bosses 2,2014,https://letterboxd.com/film/horrible-bosses-2/
2019-11-12,Horse Sense,1999,https://letterboxd.com/film/horse-sense/
2019-11-12,Hot Fuzz,2007,https://letterboxd.com/film/hot-fuzz/
2019-11-12,Hot Shots! Part Deux,1993,https://letterboxd.com/film/hot-shots-part-deux/
2019-11-12,Hot Tub Time Machine,2010,https://letterboxd.com/film/hot-tub-time-machine/
2019-11-12,Hotel Rwanda,2004,https://letterboxd.com/film/hotel-rwanda/
2019-11-12,How the Grinch Stole Christmas!,1966,https://letterboxd.com/film/how-the-grinch-stole-christmas/
2019-11-12,I Am Legend,2007,https://letterboxd.com/film/i-am-legend/
2019-11-12,I ♥ Huckabees,2004,https://letterboxd.com/film/i-huckabees/
2019-11-12,"I Love You, Man",2009,https://letterboxd.com/film/i-love-you-man/
2019-11-12,"I, Robot",2004,https://letterboxd.com/film/i-robot/
2019-11-12,Identity Thief,2013,https://letterboxd.com/film/identity-thief/
2019-11-12,Idiocracy,2006,https://letterboxd.com/film/idiocracy/
2019-11-12,In Bruges,2008,https://letterboxd.com/film/in-bruges/
2019-11-12,Inception,2010,https://letterboxd.com/film/inception/
2019-11-12,Independence Day,1996,https://letterboxd.com/film/independence-day/
2019-11-12,Indiana Jones and the Last Crusade,1989,https://letterboxd.com/film/indiana-jones-and-the-last-crusade/
2019-11-12,Indiana Jones and the Temple of Doom,1984,https://letterboxd.com/film/indiana-jones-and-the-temple-of-doom/
2019-11-12,Inglourious Basterds,2009,https://letterboxd.com/film/inglourious-basterds/
2019-11-12,Inspector Gadget,1999,https://letterboxd.com/film/inspector-gadget/
2019-11-12,Into the Wild,2007,https://letterboxd.com/film/into-the-wild/
2019-11-12,Iron Man,2008,https://letterboxd.com/film/iron-man-2008/
2019-11-12,Iron Man 2,2010,https://letterboxd.com/film/iron-man-2/
2019-11-12,Iron Man 3,2013,https://letterboxd.com/film/iron-man-3/
2019-11-12,It's a Wonderful Life,1946,https://letterboxd.com/film/its-a-wonderful-life/
2019-11-12,Jack Frost,1998,https://letterboxd.com/film/jack-frost/
2019-11-12,Jack Ryan: Shadow Recruit,2014,https://letterboxd.com/film/jack-ryan-shadow-recruit/
2019-11-12,James and the Giant Peach,1996,https://letterboxd.com/film/james-and-the-giant-peach/
2019-11-12,Jarhead,2005,https://letterboxd.com/film/jarhead/
2019-11-12,Jaws,1975,https://letterboxd.com/film/jaws/
2019-11-12,Jay and Silent Bob Strike Back,2001,https://letterboxd.com/film/jay-and-silent-bob-strike-back/
2019-11-12,Jerry Maguire,1996,https://letterboxd.com/film/jerry-maguire/
2019-11-12,Jett Jackson: The Movie,2001,https://letterboxd.com/film/jett-jackson-the-movie/
2019-11-12,Jingle All the Way,1996,https://letterboxd.com/film/jingle-all-the-way/
2019-11-12,Jobs,2013,https://letterboxd.com/film/jobs/
2019-11-12,Joe Dirt,2001,https://letterboxd.com/film/joe-dirt/
2019-11-12,John Wick,2014,https://letterboxd.com/film/john-wick/
2019-11-12,Johnny Tsunami,1999,https://letterboxd.com/film/johnny-tsunami/
2019-11-12,Josie and the Pussycats,2001,https://letterboxd.com/film/josie-and-the-pussycats/
2019-11-12,Jungle 2 Jungle,1997,https://letterboxd.com/film/jungle-2-jungle/
2019-11-12,Juno,2007,https://letterboxd.com/film/juno/
2019-11-12,Kick-Ass,2010,https://letterboxd.com/film/kick-ass/
2019-11-12,Kill Me Three Times,2014,https://letterboxd.com/film/kill-me-three-times/
2019-11-12,Kingpin,1996,https://letterboxd.com/film/kingpin/
2019-11-12,Kingsman: The Secret Service,2014,https://letterboxd.com/film/kingsman-the-secret-service/
2019-11-12,Knocked Up,2007,https://letterboxd.com/film/knocked-up/
2019-11-12,Knuckleball!,2012,https://letterboxd.com/film/knuckleball/
2019-11-12,Korengal,2014,https://letterboxd.com/film/korengal/
2019-11-12,Lady and the Tramp,1955,https://letterboxd.com/film/lady-and-the-tramp/
2019-11-12,Layer Cake,2004,https://letterboxd.com/film/layer-cake/
2019-11-12,Leave it to Beaver,1997,https://letterboxd.com/film/leave-it-to-beaver/
2019-11-12,Les Misérables,2012,https://letterboxd.com/film/les-miserables-2012/
2019-11-12,Let Me In,2010,https://letterboxd.com/film/let-me-in/
2019-11-12,Let the Right One In,2008,https://letterboxd.com/film/let-the-right-one-in/
2019-11-12,Liar Liar,1997,https://letterboxd.com/film/liar-liar/
2019-11-12,Limitless,2011,https://letterboxd.com/film/limitless/
2019-11-12,Lincoln,2012,https://letterboxd.com/film/lincoln/
2019-11-12,Little Big League,1994,https://letterboxd.com/film/little-big-league/
2019-11-12,Little Giants,1994,https://letterboxd.com/film/little-giants/
2019-11-12,Little Miss Sunshine,2006,https://letterboxd.com/film/little-miss-sunshine/
2019-11-12,"Lock, Stock and Two Smoking Barrels",1998,https://letterboxd.com/film/lock-stock-and-two-smoking-barrels/
2019-11-12,Lord of War,2005,https://letterboxd.com/film/lord-of-war/
2019-11-12,Lone Survivor,2013,https://letterboxd.com/film/lone-survivor/
2019-11-12,Love Actually,2003,https://letterboxd.com/film/love-actually/
2019-11-12,Lucky Number Slevin,2006,https://letterboxd.com/film/lucky-number-slevin/
2019-11-12,Macheads,2009,https://letterboxd.com/film/macheads/
2019-11-12,Mad Max: Fury Road,2015,https://letterboxd.com/film/mad-max-fury-road/
2019-11-12,Major League,1989,https://letterboxd.com/film/major-league/
2019-11-12,Major League: Back to the Minors,1998,https://letterboxd.com/film/major-league-back-to-the-minors/
2019-11-12,Major Payne,1995,https://letterboxd.com/film/major-payne/
2019-11-12,Mallrats,1995,https://letterboxd.com/film/mallrats/
2019-11-12,Man on Wire,2008,https://letterboxd.com/film/man-on-wire/
2019-11-12,Mars Attacks!,1996,https://letterboxd.com/film/mars-attacks/
2019-11-12,Mary Poppins,1964,https://letterboxd.com/film/mary-poppins/
2019-11-12,Match Point,2005,https://letterboxd.com/film/match-point/
2019-11-12,Mean Girls,2004,https://letterboxd.com/film/mean-girls/
2019-11-12,Meet the Fockers,2004,https://letterboxd.com/film/meet-the-fockers/
2019-11-12,Meet the Parents,2000,https://letterboxd.com/film/meet-the-parents/
2019-11-12,Men in Black,1997,https://letterboxd.com/film/men-in-black/
2019-11-12,Men in Black II,2002,https://letterboxd.com/film/men-in-black-ii/
2019-11-12,Men in Black 3,2012,https://letterboxd.com/film/men-in-black-3/
2019-11-12,Michael Clayton,2007,https://letterboxd.com/film/michael-clayton/
2019-11-12,Midnight in Paris,2011,https://letterboxd.com/film/midnight-in-paris/
2019-11-12,Mighty Morphin Power Rangers: The Movie,1995,https://letterboxd.com/film/mighty-morphin-power-rangers-the-movie/
2019-11-12,Milk,2008,https://letterboxd.com/film/milk-2008/
2019-11-12,Million Dollar Baby,2004,https://letterboxd.com/film/million-dollar-baby/
2019-11-12,Minority Report,2002,https://letterboxd.com/film/minority-report/
2019-11-12,Miracle,2004,https://letterboxd.com/film/miracle/
2019-11-12,Miracle on 34th Street,1947,https://letterboxd.com/film/miracle-on-34th-street/
2019-11-12,Mission: Impossible,1996,https://letterboxd.com/film/mission-impossible/
2019-11-12,Mission: Impossible II,2000,https://letterboxd.com/film/mission-impossible-ii/
2019-11-12,Mission: Impossible III,2006,https://letterboxd.com/film/mission-impossible-iii/
2019-11-12,Mission: Impossible - Ghost Protocol,2011,https://letterboxd.com/film/mission-impossible-ghost-protocol/
2019-11-12,Moneyball,2011,https://letterboxd.com/film/moneyball/
2019-11-12,"Monsters, Inc.",2001,https://letterboxd.com/film/monsters-inc/
2019-11-12,Monty Python and the Holy Grail,1975,https://letterboxd.com/film/monty-python-and-the-holy-grail/
2019-11-12,Moonrise Kingdom,2012,https://letterboxd.com/film/moonrise-kingdom/
2019-11-12,Motocrossed,2001,https://letterboxd.com/film/motocrossed/
2019-11-12,MouseHunt,1997,https://letterboxd.com/film/mousehunt/
2019-11-12,Mr. Deeds,2002,https://letterboxd.com/film/mr-deeds/
2019-11-12,Mrs. Doubtfire,1993,https://letterboxd.com/film/mrs-doubtfire/
2019-11-12,Mud,2012,https://letterboxd.com/film/mud/
2019-11-12,Mulan,1998,https://letterboxd.com/film/mulan/
2019-11-12,Munich,2005,https://letterboxd.com/film/munich/
2019-11-12,Muppet Treasure Island,1996,https://letterboxd.com/film/muppet-treasure-island/
2019-11-12,My Big Fat Greek Wedding,2002,https://letterboxd.com/film/my-big-fat-greek-wedding/
2019-11-12,My Favorite Martian,1999,https://letterboxd.com/film/my-favorite-martian/
2019-11-12,Mystery Men,1999,https://letterboxd.com/film/mystery-men/
