Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-11-12,Crazy Heart,2009,https://letterboxd.com/claycarson/film/crazy-heart/,,,,2015-11-09
2019-11-12,Cruel Intentions,1999,https://letterboxd.com/claycarson/film/cruel-intentions/,,,,2015-11-09
2019-11-12,The Mighty Ducks,1992,https://letterboxd.com/claycarson/film/the-mighty-ducks/,,,,2015-11-09
2019-11-12,D2: The Mighty Ducks,1994,https://letterboxd.com/claycarson/film/d2-the-mighty-ducks/,,,,2015-11-09
2019-11-12,D3: The Mighty Ducks,1996,https://letterboxd.com/claycarson/film/d3-the-mighty-ducks/,,,,2015-11-09
2019-11-12,Dallas Buyers Club,2013,https://letterboxd.com/claycarson/film/dallas-buyers-club/,,,,2015-11-09
2019-11-12,Dazed and Confused,1993,https://letterboxd.com/claycarson/film/dazed-and-confused/,,,,2015-11-09
2019-11-12,Defiance,2008,https://letterboxd.com/claycarson/film/defiance/,,,,2015-11-09
2019-11-12,Dennis the Menace,1993,https://letterboxd.com/claycarson/film/dennis-the-menace/,,,,2015-11-09
2019-11-12,District 9,2009,https://letterboxd.com/claycarson/film/district-9/,,,,2015-11-09
2019-11-12,Divergent,2014,https://letterboxd.com/claycarson/film/divergent/,,,,2015-11-09
2019-11-12,Django Unchained,2012,https://letterboxd.com/claycarson/film/django-unchained/,,,,2015-11-09
2019-11-12,Doctor Dolittle,1998,https://letterboxd.com/claycarson/film/doctor-dolittle-1998/,,,,2015-11-09
2019-11-12,Dr. Dolittle 2,2001,https://letterboxd.com/claycarson/film/dr-dolittle-2/,,,,2015-11-09
2019-11-12,DodgeBall: A True Underdog Story,2004,https://letterboxd.com/claycarson/film/dodgeball-a-true-underdog-story/,,,,2015-11-09
2019-11-12,Dog Day Afternoon,1975,https://letterboxd.com/claycarson/film/dog-day-afternoon/,,,,2015-11-09
2019-11-12,Donnie Darko,2001,https://letterboxd.com/claycarson/film/donnie-darko/,,,,2015-11-09
2019-11-12,Double Teamed,2002,https://letterboxd.com/claycarson/film/double-teamed/,,,,2015-11-09
2019-11-12,Drive,2011,https://letterboxd.com/claycarson/film/drive-2011/,,,,2015-11-09
2019-11-12,Drumline,2002,https://letterboxd.com/claycarson/film/drumline/,,,,2015-11-09
2019-11-12,"Dude, Where's My Car?",2000,https://letterboxd.com/claycarson/film/dude-wheres-my-car/,,,,2015-11-09
2019-11-12,Due Date,2010,https://letterboxd.com/claycarson/film/due-date/,,,,2015-11-09
2019-11-12,Dumb and Dumber,1994,https://letterboxd.com/claycarson/film/dumb-and-dumber/,,,,2015-11-09
2019-11-12,Dumb and Dumber To,2014,https://letterboxd.com/claycarson/film/dumb-and-dumber-to/,,,,2015-11-09
2019-11-12,Dumb and Dumberer: When Harry Met Lloyd,2003,https://letterboxd.com/claycarson/film/dumb-and-dumberer-when-harry-met-lloyd/,,,,2015-11-09
2019-11-12,Dumbo,1941,https://letterboxd.com/claycarson/film/dumbo/,,,,2015-11-09
2019-11-12,E.T. the Extra-Terrestrial,1982,https://letterboxd.com/claycarson/film/et-the-extra-terrestrial/,,,,2015-11-09
2019-11-12,Easy A,2010,https://letterboxd.com/claycarson/film/easy-a/,,,,2015-11-09
2019-11-12,Edge of Tomorrow,2014,https://letterboxd.com/claycarson/film/edge-of-tomorrow/,,,,2015-11-09
2019-11-12,Edward Scissorhands,1990,https://letterboxd.com/claycarson/film/edward-scissorhands/,,,,2015-11-09
2019-11-12,Eight Men Out,1988,https://letterboxd.com/claycarson/film/eight-men-out/,,,,2015-11-09
2019-11-12,Elf,2003,https://letterboxd.com/claycarson/film/elf/,,,,2015-11-09
2019-11-12,Empire Records,1995,https://letterboxd.com/claycarson/film/empire-records/,,,,2015-11-09
2019-11-12,End of Watch,2012,https://letterboxd.com/claycarson/film/end-of-watch/,,,,2015-11-09
2019-11-12,Enemy at the Gates,2001,https://letterboxd.com/claycarson/film/enemy-at-the-gates/,,,,2015-11-09
2019-11-12,EuroTrip,2004,https://letterboxd.com/claycarson/film/eurotrip/,,,,2015-11-09
2019-11-12,Exit Through the Gift Shop,2010,https://letterboxd.com/claycarson/film/exit-through-the-gift-shop/,,,,2015-11-09
2019-11-12,Failure to Launch,2006,https://letterboxd.com/claycarson/film/failure-to-launch/,,,,2015-11-09
2019-11-12,Fantasia,1940,https://letterboxd.com/claycarson/film/fantasia/,,,,2015-11-09
2019-11-12,Fargo,1996,https://letterboxd.com/claycarson/film/fargo/,,,,2015-11-09
2019-11-12,Fast Times at Ridgemont High,1982,https://letterboxd.com/claycarson/film/fast-times-at-ridgemont-high/,,,,2015-11-09
2019-11-12,Fear and Loathing in Las Vegas,1998,https://letterboxd.com/claycarson/film/fear-and-loathing-in-las-vegas/,,,,2015-11-09
2019-11-12,Ferris Bueller's Day Off,1986,https://letterboxd.com/claycarson/film/ferris-buellers-day-off/,,,,2015-11-09
2019-11-12,Fever Pitch,2005,https://letterboxd.com/claycarson/film/fever-pitch-2005/,,,,2015-11-09
2019-11-12,Field of Dreams,1989,https://letterboxd.com/claycarson/film/field-of-dreams/,5,,,2015-11-09
2019-11-12,Fight Club,1999,https://letterboxd.com/claycarson/film/fight-club/,,,,2015-11-09
2019-11-12,Finding Nemo,2003,https://letterboxd.com/claycarson/film/finding-nemo/,,,,2015-11-09
2019-11-12,Finding Neverland,2004,https://letterboxd.com/claycarson/film/finding-neverland/,,,,2015-11-09
2019-11-12,First Kid,1996,https://letterboxd.com/claycarson/film/first-kid/,,,,2015-11-09
2019-11-12,Flight,2012,https://letterboxd.com/claycarson/film/flight/,,,,2015-11-09
2019-11-12,Fly Away Home,1996,https://letterboxd.com/claycarson/film/fly-away-home/,,,,2015-11-09
2019-11-12,"Food, Inc.",2008,https://letterboxd.com/claycarson/film/food-inc/,,,,2015-11-09
2019-11-12,Forgetting Sarah Marshall,2008,https://letterboxd.com/claycarson/film/forgetting-sarah-marshall/,,,,2015-11-09
2019-11-12,Forrest Gump,1994,https://letterboxd.com/claycarson/film/forrest-gump/,,,,2015-11-09
2019-11-12,Foxcatcher,2014,https://letterboxd.com/claycarson/film/foxcatcher/,,,,2015-11-09
2019-11-12,Freddy Got Fingered,2001,https://letterboxd.com/claycarson/film/freddy-got-fingered/,,,,2015-11-09
2019-11-12,Friends with Benefits,2011,https://letterboxd.com/claycarson/film/friends-with-benefits/,,,,2015-11-09
2019-11-12,Frost/Nixon,2008,https://letterboxd.com/claycarson/film/frost-nixon/,,,,2015-11-09
2019-11-12,Full Metal Jacket,1987,https://letterboxd.com/claycarson/film/full-metal-jacket/,,,,2015-11-09
2019-11-12,Fury,2014,https://letterboxd.com/claycarson/film/fury-2014/,,,,2015-11-09
2019-11-12,Galaxy Quest,1999,https://letterboxd.com/claycarson/film/galaxy-quest/,,,,2015-11-09
2019-11-12,Gattaca,1997,https://letterboxd.com/claycarson/film/gattaca/,,,,2015-11-09
2019-11-12,Genius,1999,https://letterboxd.com/claycarson/film/genius/,,,,2015-11-09
2019-11-12,Ghostbusters,1984,https://letterboxd.com/claycarson/film/ghostbusters/,,,,2015-11-09
2019-11-12,Gladiator,2000,https://letterboxd.com/claycarson/film/gladiator-2000/,,,,2015-11-09
